ZONE,PORV,VOLUME,Z,PERMX
LowerReek,91526392.0,504504371.3,1595.7,1079.4
MidReek,157574096.0,938721683.9,1585.9,877.4
UpperReek,142346336.0,1036154565.6,1570.7,493.1
